date,MACD_Signal,MACD,MACD_Hist,RSI,Real Lower Band,Real Middle Band,Real Upper Band,4. close,Y,X,Buy/Sell
2011-07-27,12.2099,15.6204,3.4105,69.0911,325.5019,366.6085,407.7151,392.59,10855.56597,-3.79986879, 
2011-07-26,11.3573,15.7403,4.383,78.109,322.2882,363.742,405.1958,403.41,10854.62181,-4.744032043, 
2011-07-25,10.2616,14.5627,4.3012,76.8038,320.7555,360.1735,399.5915,398.5,10854.92414,-4.441701819, 
2011-07-22,9.1863,13.3478,4.1615,75.3235,318.6616,356.566,394.4704,393.3,10855.25084,-4.115001802, 
2011-07-21,8.1459,12.1324,3.9865,73.4642,318.0122,353.4625,388.9128,387.29,10855.61462,-3.751221555, 
2011-07-20,7.1493,11.0166,3.8673,73.3404,315.9298,350.2285,384.5272,386.9,10855.79128,-3.57455448, 
2011-07-19,6.1825,9.4718,3.2894,69.902,315.6242,347.1485,378.6728,376.85,10856.36521,-3.000633104, 
2011-07-18,5.3601,8.3857,3.0256,68.7395,312.7335,344.072,375.4105,373.8,10856.6446,-2.72123731, 
2011-07-15,4.6037,7.1879,2.5842,65.0009,311.5607,341.395,371.2293,364.92,10857.2002,-2.165638377, 
2011-07-14,3.9577,6.4588,2.5011,61.4767,310.8359,339.407,367.9781,357.77,10857.66377,-1.702073274, 
2011-07-13,3.3324,6.1622,2.8298,61.683,310.084,337.856,365.628,358.02,10857.68302,-1.682816536, 
2011-07-12,2.6249,5.6685,3.0435,59.4763,310.3227,336.577,362.8313,353.75,10857.97544,-1.39040123, 
2011-07-11,1.864,5.3907,3.5266,59.6674,309.8651,335.2195,360.5739,354,10857.9917,-1.374133827, 
2011-07-08,0.9824,4.9322,3.9498,64.1396,309.6944,333.8145,357.9346,359.71,10857.59757,-1.768263875, 
2011-07-07,-0.0051,3.6939,3.699,62.9809,311.4088,332.4035,353.3982,357.2,10857.89365,-1.472192981, 
2011-07-06,-0.9298,2.3153,3.2451,60.3426,313.5039,331.1555,348.8071,351.76,10858.3615,-1.00433545, 
2011-07-05,-1.7411,1.0759,2.8169,59.1582,315.2384,330.1695,345.1006,349.43,10858.6624,-0.703440357, 
2011-07-01,-2.4453,-0.2845,2.1608,55.8405,316.9573,329.6,342.2427,343.26,10859.19963,-0.166210688, 
2011-06-30,-2.9855,-1.3885,1.597,51.2085,316.9272,329.609,342.2908,335.67,10859.83521,0.469367025, 
2011-06-29,-3.3848,-2.0047,1.3801,50.1416,315.7502,330.1306,344.511,334.04,10860.03586,0.670016608, 
2011-06-28,-3.7298,-2.5959,1.1339,50.9335,314.9013,330.7041,346.5069,335.26,10860.04367,0.677834104, 
2011-06-27,-4.0133,-3.437,0.5762,48.9103,313.9356,331.3326,348.7296,332.04,10860.37706,1.011220871, 
2011-06-24,-4.1573,-4.1328,0.0246,45.1106,314.0041,331.6011,349.1981,326.35,10860.86946,1.503619389, 
2011-06-23,-4.1635,-4.3813,-0.2179,48.0204,314.5493,332.0336,349.5179,331.23,10860.61133,1.245495689, 
2011-06-22,-4.109,-5.1317,-1.0227,41.7111,314.7108,332.3111,349.9114,322.61,10861.3703,2.00446547, 
2011-06-21,-3.8533,-5.1372,-1.2838,43.2681,315.7597,332.7901,349.8205,325.3,10861.21445,1.848616193, 
2011-06-20,-3.5324,-5.3433,-1.8109,34.6736,316.5567,333.2451,349.9335,315.32,10862.12638,2.76054128, 
2011-06-17,-3.0797,-4.5125,-1.4328,37.3331,319.7121,334.2401,348.7681,320.26,10861.73014,2.364304932, 
2011-06-16,-2.7214,-3.8895,-1.168,40.2417,321.9955,335.2536,348.5117,325.16,10861.33998,1.97413765, 
2011-06-15,-2.4294,-3.5366,-1.1071,41.232,323.4392,335.9891,348.539,326.75,10861.18644,1.82060476, 
2011-06-14,-2.1527,-3.1966,-1.044,44.9963,324.6455,336.4586,348.2717,332.44,10860.75237,1.386529433, 
2011-06-13,-1.8917,-3.2956,-1.4039,39.6215,324.7412,336.5016,348.262,326.6,10861.31957,1.953735604, 
2011-06-10,-1.5407,-2.7793,-1.2386,38.9422,326.2437,337.1966,348.1495,325.9,10861.3117,1.945859549, 
2011-06-09,-1.231,-2.0086,-0.7776,42.5766,327.8502,338.2301,348.61,331.49,10860.82461,1.458773712, 
2011-06-08,-1.0366,-1.5649,-0.5283,43.0892,328.4162,339.0171,349.618,332.24,10860.70551,1.339669315, 
2011-06-07,-0.9046,-1.0522,-0.1477,42.9151,328.8322,339.8776,350.923,332.04,10860.64534,1.279503087, 
2011-06-06,-0.8676,-0.3622,0.5055,47.0142,329.7368,340.6556,351.5744,338.04,10860.12099,0.755152366, 
2011-06-03,-0.994,-0.0871,0.907,51.1951,329.9367,341.0866,352.2365,343.44,10859.65051,0.284674784, 
2011-06-02,-1.2208,-0.2844,0.9363,53.4199,329.8715,341.2521,352.6327,346.102,10859.45143,0.085591985, 
2011-06-01,-1.4548,-0.8033,0.6515,52.9882,329.6556,341.4255,353.1954,345.51,10859.57319,0.207352126, 
2011-05-31,-1.6177,-1.3936,0.2242,54.8815,329.5475,341.56,353.5725,347.83,10859.46915,0.103310793, 
2011-05-27,-1.6738,-2.3629,-0.6891,46.7658,329.6137,341.4825,353.3513,337.41,10860.44603,1.080194309, 
2011-05-26,-1.5015,-2.5048,-1.0034,44.5753,329.8348,342.1185,354.4022,335,10860.69331,1.327469977, 
2011-05-25,-1.2506,-2.4042,-1.1535,45.9005,330.72,342.706,354.692,336.78,10860.54428,1.178446022, 
2011-05-24,-0.9622,-2.4219,-1.4597,41.6508,331.2941,343.3745,355.4549,332.19,10860.9839,1.618061034, 
2011-05-23,-0.5973,-1.9421,-1.3447,43.2032,332.9934,344.286,355.5786,334.4,10860.75386,1.388024417, 
2011-05-20,-0.2611,-1.5263,-1.2652,43.7783,334.2743,345.2165,356.1586,335.22,10860.63341,1.267575115, 
2011-05-19,0.0552,-1.057,-1.1121,47.6833,335.8239,345.9902,356.1566,340.53,10860.16453,0.798692555, 
2011-05-18,0.3332,-0.9832,-1.3164,47.1264,336.0882,346.0842,356.0803,339.87,10860.21258,0.846741666, 
2011-05-17,0.6623,-0.8076,-1.4699,43.9215,335.7035,345.9837,356.264,336.14,10860.51669,1.150853937, 
2011-05-16,1.0298,-0.1918,-1.2216,41.35,334.541,345.7692,356.9975,333.3,10860.68955,1.323714181, 
2011-05-13,1.3352,0.886,-0.4492,46.4836,332.7619,345.4772,358.1926,340.5,10860.00485,0.639006818, 
2011-05-12,1.4474,1.5157,0.0683,51.6158,331.283,345.0732,358.8635,346.57,10859.3861,0.020256692, 
2011-05-11,1.4304,1.6794,0.2491,52.2113,330.2463,344.5512,358.8562,347.23,10859.30085,-0.064989839, 
2011-05-10,1.3681,1.7967,0.4286,54.2097,328.6267,343.8097,358.9928,349.45,10859.07946,-0.286380966, 
2011-05-09,1.261,1.6943,0.4333,52.7788,326.9231,342.8772,358.8314,347.6,10859.24185,-0.123990784, 
2011-05-06,1.1526,1.7273,0.5746,52.0557,326.1033,342.2502,358.3972,346.66,10859.3103,-0.055543211, 
2011-05-05,1.009,1.8399,0.831,52.1283,325.7098,341.8212,357.9327,346.75,10859.28453,-0.081307628, 
2011-05-04,0.8012,1.9478,1.1466,54.3865,325.3601,341.3857,357.4114,349.57,10859.03569,-0.330143833, 
2011-05-03,0.5146,1.77,1.2554,53.4559,325.2463,340.8517,356.4572,348.2,10859.15515,-0.210686961, 
2011-05-02,0.2007,1.6568,1.4561,52.1564,325.2611,340.5012,355.7414,346.28,10859.30185,-0.063986168, 
2011-04-29,-0.1633,1.6838,1.847,55.0862,325.2875,340.4153,355.543,350.13,10858.99517,-0.370668392, 
2011-04-28,-0.6251,1.3017,1.9267,52.8786,325.3995,340.3341,355.2687,346.75,10859.27409,-0.091744929, 
2011-04-27,-1.1067,1.1392,2.2459,55.4848,325.3106,340.4281,355.5456,350.15,10859.02851,-0.337327118, 
2011-04-26,-1.6682,0.569,2.2372,55.6919,325.2432,340.4686,355.694,350.42,10859.08964,-0.276197754, 
2011-04-25,-2.2275,-0.1945,2.033,57.652,325.2416,340.4696,355.6977,353.009,10859.00162,-0.364215489, 
2011-04-21,-2.7358,-1.4297,1.306,56.348,325.3983,340.3962,355.394,350.696,10859.31898,-0.046857315, 
2011-04-20,-3.0623,-2.7501,0.3122,51.2384,325.7025,340.1099,354.5173,342.41,10860.03848,0.672640285, 
2011-04-19,-3.1403,-3.5517,-0.4113,48.0673,325.5759,339.9489,354.3218,337.86,10860.48434,1.118504357, 
2011-04-18,-3.0375,-4.0598,-1.0223,43.4527,325.7663,340.1159,354.4654,331.85,10861.03422,1.668377702, 
